individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,true,null,null,null,null,null,null,true,null,null,false,false,null,false,3,null,null,null,null,true,null,null,null,false,null,null,null,null,RuleExtractorAggregator,null,null,null,2,5,null,null,null,null,null,null,null,null,0.0
overall,true,null,null,null,null,null,null,true,null,null,false,false,null,false,3,null,null,null,null,true,null,null,null,false,null,null,null,null,RuleExtractorAggregator,null,null,null,2,5,null,null,null,null,null,null,null,null,0.0
gen_000_ind_000,true,unpruned,false,null,null,9,true,true,0,2,true,true,null,true,5,3,null,unpruned,true,true,true,weka.attributeSelection.BestFirst,false,true,null,false,false,auc,MajorityVotingAggregator,false,true,3,10,7,null,true,null,null,true,4,null,1.0,null
gen_000_ind_001,true,reducedErrorPruning,true,true,null,null,false,true,null,null,true,false,null,true,null,2,false,unpruned,null,false,true,null,false,true,4,true,false,null,MajorityVotingAggregator,false,false,3,9,null,null,true,10,null,true,2,null,1.0,null
gen_000_ind_002,true,confidenceFactor,false,true,null,10,true,true,1,7,true,true,0.15,true,8,9,null,reducedErrorPruning,true,true,false,weka.attributeSelection.BestFirst,false,true,null,false,true,acc,MajorityVotingAggregator,false,true,9,5,8,9,true,null,null,true,9,null,0.9995098039215687,null
gen_000_ind_003,true,confidenceFactor,true,false,0.05,2,true,true,1,1,true,true,0.05,true,10,10,true,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,false,true,10,false,false,auc,CompetenceBasedAggregator,false,false,8,7,2,null,true,null,null,false,3,null,1.0,null
gen_000_ind_004,false,null,false,null,0.05,5,null,true,2,5,false,true,null,true,9,7,null,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,true,true,null,true,false,auc,MajorityVotingAggregator,null,null,9,2,10,null,null,null,null,null,null,null,0.9982352941176471,null
gen_000_ind_005,true,confidenceFactor,true,false,null,1,false,true,1,5,true,true,0.25,true,null,10,false,unpruned,false,false,true,weka.attributeSelection.BestFirst,true,true,6,false,false,auc,RuleExtractorAggregator,true,true,9,6,null,null,true,null,null,true,10,null,0.9323529411764706,null
gen_000_ind_006,false,reducedErrorPruning,false,true,null,6,false,true,1,6,true,true,null,true,5,2,null,reducedErrorPruning,true,true,true,weka.attributeSelection.BestFirst,true,true,null,false,false,auc,MajorityVotingAggregator,false,true,7,5,9,3,false,5,null,true,9,null,1.0,null
gen_000_ind_007,true,reducedErrorPruning,true,true,null,1,false,true,1,1,true,true,null,true,null,5,true,reducedErrorPruning,true,false,true,weka.attributeSelection.BestFirst,false,true,2,true,true,rmse,RuleExtractorAggregator,true,true,2,10,null,2,false,4,null,false,6,null,1.0,null
gen_000_ind_008,false,reducedErrorPruning,true,false,null,1,false,true,null,null,true,true,null,false,null,null,true,null,false,false,null,weka.attributeSelection.GreedyStepwise,null,true,2,true,null,auc,RuleExtractorAggregator,false,true,8,2,null,null,true,7,true,false,10,false,1.0,null
gen_000_ind_009,false,confidenceFactor,null,false,null,1,true,true,1,5,true,true,0.25,false,7,null,null,null,true,true,null,weka.attributeSelection.BestFirst,null,false,null,null,null,acc,RuleExtractorAggregator,true,true,null,8,3,null,true,null,null,false,10,null,0.9931372549019608,null
gen_000_ind_010,true,unpruned,true,null,null,1,false,true,2,5,true,true,null,true,10,8,true,reducedErrorPruning,false,true,false,weka.attributeSelection.BestFirst,true,true,7,false,true,auc,RuleExtractorAggregator,false,false,10,8,8,2,true,null,null,false,5,null,0.9896078431372549,null
gen_000_ind_011,false,confidenceFactor,true,false,null,5,false,true,null,null,true,true,0.35,false,1,null,true,null,false,true,null,weka.attributeSelection.GreedyStepwise,null,true,8,true,null,auc,MajorityVotingAggregator,false,false,9,2,3,null,true,null,false,false,3,true,1.0,null
gen_000_ind_012,false,unpruned,false,null,null,1,false,true,null,null,true,true,null,true,10,10,null,reducedErrorPruning,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,null,true,false,rmse,RuleExtractorAggregator,false,true,9,2,10,6,false,null,true,false,7,false,0.9942156862745097,null
gen_000_ind_013,true,unpruned,null,null,null,10,false,true,null,null,true,true,null,true,6,10,null,reducedErrorPruning,true,true,false,weka.attributeSelection.GreedyStepwise,false,false,null,null,true,rmse,MajorityVotingAggregator,false,false,null,9,6,2,false,null,false,false,3,false,1.0,null
gen_000_ind_014,false,reducedErrorPruning,true,true,null,8,false,true,null,null,true,true,null,true,2,6,true,reducedErrorPruning,false,true,false,weka.attributeSelection.GreedyStepwise,true,true,5,true,false,rmse,CompetenceBasedAggregator,false,false,2,3,7,6,true,3,false,false,8,true,1.0,null
gen_000_ind_015,false,confidenceFactor,true,false,null,1,false,true,null,null,true,true,0.35,true,null,5,false,unpruned,true,false,true,weka.attributeSelection.GreedyStepwise,false,true,6,false,false,mae,MajorityVotingAggregator,false,true,2,6,null,null,false,null,false,false,7,false,1.0,null
gen_000_ind_016,true,unpruned,false,null,0.25,1,false,true,null,null,true,true,null,true,5,10,null,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,null,true,false,acc,RuleExtractorAggregator,true,true,9,10,5,null,true,null,true,true,7,false,1.0,null
gen_000_ind_017,true,reducedErrorPruning,false,false,0.05,7,true,true,1,5,true,true,null,true,null,9,null,confidenceFactor,false,false,true,weka.attributeSelection.BestFirst,false,true,null,true,true,auc,CompetenceBasedAggregator,false,true,7,4,null,null,true,5,null,false,9,null,1.0,null
gen_000_ind_018,true,null,true,null,null,10,null,true,0,7,false,true,null,true,9,2,false,reducedErrorPruning,false,true,false,weka.attributeSelection.BestFirst,true,true,7,true,false,auc,CompetenceBasedAggregator,null,null,6,4,5,8,null,null,null,null,null,null,1.0,null
gen_000_ind_019,false,confidenceFactor,true,false,null,null,false,true,null,null,true,false,0.15,true,null,6,false,reducedErrorPruning,null,false,true,null,true,true,3,true,false,null,RuleExtractorAggregator,false,true,3,7,null,5,true,null,null,true,8,null,1.0,null
gen_000_ind_020,false,unpruned,null,null,0.25,4,true,true,null,null,true,true,null,true,10,4,null,confidenceFactor,true,true,true,weka.attributeSelection.GreedyStepwise,false,false,null,null,false,auc,CompetenceBasedAggregator,false,true,null,7,3,null,true,null,false,true,10,false,1.0,null
gen_000_ind_021,true,unpruned,false,null,null,4,false,true,null,null,true,true,null,false,5,null,null,null,true,true,null,weka.attributeSelection.GreedyStepwise,null,true,null,true,null,auc,CompetenceBasedAggregator,true,true,4,2,4,null,true,null,true,true,10,false,1.0,null
gen_000_ind_022,true,unpruned,true,null,null,2,false,true,1,10,true,true,null,true,8,4,false,unpruned,false,true,true,weka.attributeSelection.BestFirst,true,true,6,true,false,auc,CompetenceBasedAggregator,false,false,4,4,10,null,false,null,null,true,9,null,1.0,null
gen_000_ind_023,false,reducedErrorPruning,null,true,null,8,false,true,null,null,true,true,null,false,null,null,null,null,false,false,null,weka.attributeSelection.GreedyStepwise,null,false,null,null,null,auc,CompetenceBasedAggregator,true,true,null,3,null,null,false,3,false,true,9,true,1.0,null
gen_000_ind_024,null,confidenceFactor,true,false,0.45,1,true,false,null,null,true,true,0.05,true,null,9,false,confidenceFactor,false,null,true,weka.attributeSelection.GreedyStepwise,true,true,8,false,false,auc,CompetenceBasedAggregator,true,true,8,null,null,null,false,null,true,false,7,false,0.9947058823529412,null
gen_000_ind_025,true,reducedErrorPruning,true,false,0.35,null,true,true,null,null,true,false,null,true,null,2,true,confidenceFactor,null,false,true,null,false,true,4,true,true,null,CompetenceBasedAggregator,true,true,7,3,null,null,false,4,null,false,6,null,1.0,null
gen_000_ind_026,true,confidenceFactor,true,false,0.15,9,false,true,0,1,true,true,0.25,true,null,4,false,confidenceFactor,true,false,true,weka.attributeSelection.BestFirst,true,true,10,true,false,rmse,MajorityVotingAggregator,false,true,2,2,null,null,true,null,null,false,3,null,1.0,null
gen_000_ind_027,true,unpruned,null,null,null,null,false,true,null,null,true,false,null,true,null,4,null,unpruned,null,false,false,null,true,false,null,null,false,null,MajorityVotingAggregator,false,false,null,8,null,null,true,null,null,true,3,null,1.0,null
gen_000_ind_028,true,unpruned,true,null,null,8,true,true,null,null,true,true,null,true,2,7,false,unpruned,true,true,true,weka.attributeSelection.GreedyStepwise,true,true,5,true,true,acc,RuleExtractorAggregator,false,true,3,4,10,null,true,null,false,false,5,true,0.9811764705882353,null
gen_000_ind_029,true,confidenceFactor,true,true,0.25,1,false,true,1,10,true,true,0.35,true,5,2,true,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,true,true,7,false,true,auc,RuleExtractorAggregator,false,true,6,2,6,null,true,null,null,true,2,null,0.9356862745098038,null
gen_000_ind_030,true,null,false,null,0.25,4,null,true,null,null,false,true,null,true,null,6,null,confidenceFactor,true,false,true,weka.attributeSelection.GreedyStepwise,false,true,null,false,true,auc,MajorityVotingAggregator,null,null,2,9,null,null,null,null,true,null,null,true,1.0,null
gen_000_ind_031,false,reducedErrorPruning,true,true,null,10,true,true,1,3,true,true,null,true,null,8,false,unpruned,false,false,false,weka.attributeSelection.BestFirst,true,true,2,true,false,rmse,MajorityVotingAggregator,true,true,4,6,null,null,false,8,null,true,6,null,1.0,null
gen_000_ind_032,null,confidenceFactor,true,false,null,1,false,false,1,5,true,true,0.25,false,null,null,false,null,false,null,null,weka.attributeSelection.BestFirst,null,true,8,true,null,auc,RuleExtractorAggregator,false,false,9,null,null,null,true,null,null,true,6,null,0.9900980392156862,null
gen_000_ind_033,null,unpruned,false,null,null,6,true,false,1,6,true,true,null,false,null,null,null,null,false,null,null,weka.attributeSelection.BestFirst,null,true,null,false,null,auc,CompetenceBasedAggregator,true,false,8,null,null,null,false,null,null,false,2,null,1.0,null
gen_000_ind_034,true,null,true,null,0.15,null,null,true,null,null,false,false,null,true,2,5,false,confidenceFactor,null,true,true,null,false,true,10,true,true,null,MajorityVotingAggregator,null,null,9,8,4,null,null,null,null,null,null,null,1.0,null
gen_000_ind_035,true,reducedErrorPruning,true,true,0.15,1,false,true,2,2,true,true,null,true,1,2,false,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,false,true,4,false,false,auc,MajorityVotingAggregator,false,false,3,9,2,null,false,6,null,true,9,null,1.0,null
gen_000_ind_036,true,confidenceFactor,false,true,null,5,false,true,1,5,true,true,0.05,true,4,4,null,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,true,true,null,true,false,acc,MajorityVotingAggregator,false,true,3,7,9,3,false,null,null,true,9,null,1.0,null
gen_000_ind_037,true,confidenceFactor,true,true,null,1,true,true,1,2,true,true,0.35,true,null,2,false,reducedErrorPruning,false,false,true,weka.attributeSelection.BestFirst,true,true,2,true,true,rmse,RuleExtractorAggregator,true,false,2,4,null,8,true,null,null,false,2,null,0.9017647058823529,null
gen_000_ind_038,true,confidenceFactor,false,true,null,1,false,true,0,5,true,true,0.35,true,null,3,null,unpruned,false,false,true,weka.attributeSelection.BestFirst,true,true,null,false,false,mae,RuleExtractorAggregator,false,true,4,4,null,null,true,null,null,false,3,null,0.8786274509803922,null
gen_000_ind_039,true,unpruned,false,null,0.05,1,false,true,null,null,true,true,null,true,null,9,null,confidenceFactor,false,false,false,weka.attributeSelection.GreedyStepwise,true,true,null,true,false,rmse,RuleExtractorAggregator,true,true,6,2,null,null,true,null,false,false,10,false,1.0,null
gen_000_ind_040,true,confidenceFactor,true,true,null,10,true,true,null,null,true,true,0.25,false,null,null,true,null,true,false,null,weka.attributeSelection.GreedyStepwise,null,true,3,false,null,auc,MajorityVotingAggregator,true,false,6,4,null,null,true,null,false,false,4,false,1.0,null
gen_000_ind_041,true,unpruned,false,null,null,5,false,true,0,5,true,true,null,true,null,2,null,unpruned,false,false,true,weka.attributeSelection.BestFirst,false,true,null,false,false,auc,RuleExtractorAggregator,false,true,7,3,null,null,false,null,null,false,7,null,0.9070588235294117,null
gen_000_ind_042,null,reducedErrorPruning,true,false,0.15,null,false,false,null,null,true,false,null,true,null,8,true,confidenceFactor,null,null,true,null,false,true,9,true,true,null,MajorityVotingAggregator,false,true,5,null,null,null,false,4,null,false,2,null,1.0,null
gen_000_ind_043,false,unpruned,false,null,null,1,false,true,0,4,true,true,null,false,null,null,null,null,false,false,null,weka.attributeSelection.BestFirst,null,true,null,true,null,auc,MajorityVotingAggregator,false,false,9,2,null,null,true,null,null,false,10,null,1.0,null
gen_000_ind_044,false,reducedErrorPruning,true,false,null,3,false,true,2,10,true,true,null,true,1,5,true,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,false,true,9,true,true,mae,MajorityVotingAggregator,true,false,2,9,3,6,false,5,null,true,3,null,1.0,null
